Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 4.0, Old Odds: 1.751, New Odds: 1.543, Time: 2023-11-18 23:32:59
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: U 3.5, Old Odds: 2.18, New Odds: 1.934, Time: 2023-11-18 23:32:59
Sport: Soccer, League: New Zealand - National League, Match: Eastern Suburbs AFC-vs-Cashmere Technical, Market: 1 0.0, Old Odds: 1.862, New Odds: 1.671, Time: 2023-11-18 23:32:59
Sport: Soccer, League: New Zealand - National Womens League, Match: Southern United-vs-Ellerslie, Market: H2 4.5, Old Odds: 1.613, New Odds: 1.45, Time: 2023-11-19 00:00:35
Sport: Soccer, League: New Zealand - National Womens League, Match: Southern United-vs-Ellerslie, Market: H2 3.5, Old Odds: 2.33, New Odds: 2.07, Time: 2023-11-19 00:00:35
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.917, New Odds: 1.636, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.909, New Odds: 1.636, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 3.5, Old Odds: 2.33, New Odds: 2.03, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 3.5, Old Odds: 2.32, New Odds: 2.03, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Southern United-vs-Ellerslie, Market: H2 4.0, Old Odds: 1.952, New Odds: 1.671, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Southern United-vs-Ellerslie, Market: H2 3.5, Old Odds: 2.33, New Odds: 2.04, Time: 2023-11-19 00:01:18
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.917, New Odds: 1.662, Time: 2023-11-19 00:01:39
Sport: Soccer, League: New Zealand - National Womens League, Match: Canterbury United-vs-Eastern Suburbs Yellow AFC, Market: U 4.0, Old Odds: 1.909, New Odds: 1.662, Time: 2023-11-19 00:01:39
